NER,src
"organism function", ADAR
"toys used in purposeful manner", Plos General
"possible showing by bringing and directing attention but not sufficient frequent", ADAR
"prefers isolated/autonomous activities; no close friends", Plos General
"some attempts to share enjoyment", ADAR
"ability to convey appropriate level of detail", ASDPTO,ADAR
"preoccupation with parts of objects", Plos General
"task performance", ASDPTO,ADAR
"he does not spontaneously seek to share interests or achievements with other people", Plos General
"development of spoken speech", ADAR
"severe delay in socializations", Plos General
"tics and mannerisms", ASDPTO,ADAR
"temporal instant", ADAR
"repetitive stereotypical phrases such as 'you bet'", Plos General
"obstetric complications", ADAR
"human-caused phenomenon or process", ADAR
"conditional probability", ADAR
"tendency to say things in ritualized way", ADAR
"insistence on sameness", Plos General
"frequent spontaneous and varied offers to share objects", ADAR
"control of emotional reactions", ASDPTO,ADAR
"impairment of social or emotional reciprocity", ADAR
"rarely maintained eye contact", Plos General
"no clear history of interactive play with other children", Plos General
"no use of neologisms or idiosyncratic language", ADAR
"moving foot in stereotypic manner", Plos General
"initiating social interactions", Plos General
"abnormal speech due to other impairment", ADAR
"bipolar disorder", ASDPTO
"conventional or instrumental gestures", ADAR
"finger-play behavior", Plos General
"engaging in some repetitive behaviors", Plos General
"speaking in third person", Plos General
"pattern recognition and rendering", ASDPTO,ADAR
"autism high level visualizer", ADAR
"body posturing", Plos General
"sleeping problems", ASDPTO
"verbal rituals notavailable", ADAR
"two dimensional region", ADAR
"does not show any interest in peer relations", Plos General
"answers virtually no questions in a meaningful manner", Plos General
"spontaneous imitation of actions", ADAR
"solitary play", Plos General
"abnormal idiosyncratic negative response to specific sensory stimuli", ADAR
"starring blankly into space", Plos General
"needing to get out of car in certain way, touching walls in rooms", Plos General
"understanding others' expectations", ASDPTO
"unresponsive to requests", Plos General
"does not initiate conversation", Plos General
"eye contact is present about 1/2 of time", Plos General
"difficulty with conversational skills", Plos General
"child always different", ADAR
"gastroesophageal reflux", ASDPTO
"head banging on floor repeatedly", Plos General
"specifically dependent continuant", ADAR
"joint attention", ASDPTO,ADAR
"his interactions with others tends to be quite limited", Plos General,Plos General
"receptive lexicon", ASDPTO,ADAR
"inconsistent spontaneous use", ADAR
"social interaction disorder", Plos General
"play was simple and repetitive, indeed perseverative", Plos General
"limited play", Plos General
"she is not seeking social interactions", Plos General
"enjoys watching spinning fans", Plos General
"no meaningful language", Plos General
"some finger waving by eye", Plos General
"started using toys", Plos General
"does not interact with other children", Plos General
"initiating and responding to social overtures", ASDPTO,ADAR
"did show evidence of initiating an interaction", Plos General
"usually resists undertaking any activity", Plos General
"money management", ASDPTO,ADAR
"never looks you in the eye", Plos General
"no interest in playing with others", Plos General
"abnormal craving", Plos General
"setting up, knocking down objects repeatedly", Plos General
"appropriateness of social responses na", ADAR
"occasional hand and finger mannerisms", ADAR
"onset of symptoms", ASDPTO
"facial expressions", ASDPTO,ADAR
"is seeking social interactions", Plos General
"unable to speak in sentences", Plos General
"stereotyped, restricted, and repetitive behavior", ASDPTO
"language delayed", Plos General
"definite unusual reaction to trivial changes in the environment", ADAR
"could not be engaged in social interaction", Plos General
"no use of others body to communicate", ADAR
"initiating social interaction", ASDPTO,ADAR
"unusual attachment so intrusive that it prevents many everyday activities", ADAR
"hand movements", Plos General
"markedly limited facial expression range", ADAR
"development possibly within normal limits during first 3 years", ADAR
"loss of language skills associated with illness", ADAR
"repeating non-sense sounds", Plos General
"dietary restrictions", ASDPTO
"likes to have something in hand which he tends to fondle and tear up", Plos General
"difficult to engage in spontaneous conversation", Plos General
"consistently shakes head spontaneously", ADAR
"sometimes shakes head spontaneously", ADAR
"repeated certain words over and over", Plos General
"little or no spontaneous communication", ADAR
"no difficulties with minor changes in own subjects own routines", ADAR
"some play with other children but no pretending", ADAR
"attachment to an unusual object causes significant distress on separation", ADAR
"reading and writing", ASDPTO,ADAR
"some activities with unusual fixed sequences", ADAR
"acquisition of bladder control nighttime", ADAR
"she is not interactive", Plos General
"flexibility in problem solving", ASDPTO,ADAR
"no verbal rituals", ADAR
"stopped using toys", Plos General
"performance of chores", ASDPTO,ADAR
"inappropriate giggling", Plos General
"scattered spatiotemporal region", ADAR
"withdrawal from social contact", Plos General
"hand waving", Plos General
"purposive hand movements definite loss", ADAR
"information content entity", ADAR
"repeatedly putting puzzles together", Plos General
"spatiotemporal instant", ADAR
"spatiotemporal interval", ADAR
"great deal of echolalia", Plos General
"task initiation", ASDPTO,ADAR
"distress if parents drive different way to grandmother's house", Plos General
"loss of skills certainty", ADAR
"his play is described as intense", Plos General
"impairment of social behavior", ADAR
"requires that his brother say exact same words each night during the bedtime ritual", Plos General
"awareness of harmful social situations", ASDPTO,ADAR
"sometimes responsive to other childrens approaches", ADAR
"high pitched quality of speech", Plos General
"preoccupation with trash, bathrooms, memorizing birthdays", Plos General
"watching wheels of trucks", Plos General
"doesn't socially interact", Plos General
"transitioning ability", ASDPTO,ADAR
"hair flicking", Plos General
"shows interest in toys", Plos General
"receptive phonology", ASDPTO,ADAR
"recognition of social norms", ASDPTO,ADAR
"agrees to interact with other children", Plos General
"delayed language", Plos General
"language acquisition", ADAR
"other complex mannerisms or stereotyped body movements", ADAR
"notavailable reciprocal conversation", ADAR
"hair pulling", Plos General
"low insistence on sameness", ADAR
"motor skills definite loss", ADAR
"communication verbal", Plos General
"imaginative play with peers notavailable", ADAR
"communicates by grunting, screaming, crying", Plos General
"eye contact less than optimal", Plos General
"picking at objects until disassembled", Plos General
"ability to converse in social settings", ASDPTO,ADAR
"repetitive mannerisms described", Plos General
"fiat object part", ADAR
"likes playing with boxes, will line them up in a stereotypical manner and will walk around and look at them", Plos General
"unintelligible speech", Plos General
"one or more activities that subject has to preform in a special way if disrupted appears to be under pressure", ADAR
"an interest in infant toys", ADAR
"motor skills possible loss", ADAR
"ignoring questions", Plos General
"play was simple and repetitive", Plos General
"only occasional complex mannerisms or stereotyped body movement", ADAR
"occasionally watches other children but almost never tries to approach", ADAR
"prosodic contour odd, generally high in pitch", Plos General
"ritualized behaviors", Plos General
"interest in children notavailable", ADAR
"likes to watch the mixer", Plos General
"occasional reciprocal conversation", ADAR
"self help skills possible loss", ADAR
"did not show any evidence of initiating an interaction", Plos General
"deliberate self harm", Plos General
"skill in understanding non-literal meaning", ASDPTO,ADAR
"flat facial expression", Plos General
"restricted ability to initiate contact", Plos General
"obsessed with elevators, writing, and drawing", Plos General
"routines very important; if altered he becomes agitated", Plos General
"engages in creative play", Plos General,Plos General
"marked difficulty to control", ADAR
"talks / answers himself in a different voice", Plos General
"stacking books, touching rituals", Plos General
"language has always been delayed", Plos General
"consistently and persistently avoids approaches of other children", ADAR
"frequent use of inappropriate questions or statements", ADAR
"he has very little in the way of sentences", Plos General
"occasional cheekiness or dishibition more than others", ADAR
"loss of spontaneous use of at least five meaningful words", ADAR
"difficult to obtain or maintain eye contact", Plos General
"job performance", ASDPTO,ADAR
"control acquisition", ADAR
"no definite loss of communicative intent", ADAR
"engagement in social activities", ASDPTO,ADAR
"not playing interactively", Plos General
"will not play with others", Plos General
"acting before thinking", ASDPTO,ADAR
"body rocking", Plos General
"speech often shrill / high pitched when excited", Plos General
"connected temporal region", ADAR
"neurodegenerative diseases", ASDPTO
"sexual issues", ASDPTO
"no peer relationships that involve selectivity and sharing", ADAR
"socially isolated", Plos General
"turning / twirling objects", Plos General
"often perseverated with a word for days at a time", Plos General
"she will stare at books or wrap string around fingers for hours", Plos General
