CUI	               Name	               Odds ratio (ASD vs Non-psychiatric)	               Odds ratio (ASD vs Psychiatric)	               Frequency (%, positive, ASD)	               Frequency (%,negative, ASD)	               Frequency (%,positive, Non-psychiatric)	               Frequency (%,negative, Non-psychiatric)	               Frequency (%,positive, Psychiatric)	               Frequency (%,negative, Psychiatric)	               TUI
C2367024	currently deployed	432.0	3.6364	1.8692	0.1168	2.5701	0.5841	0.1168	3.1542	T033
C3554252	Left-sided liver (rare)	270.0	1.0506	31.5421	0.0	30.0234	0.1168	0.0	0.0	T033
C0184667	Hospital admission, elective	229.5	1.4299	53.6215	0.0	37.5	0.0	0.2336	0.0	T058
C0008073	Disabilities, Developmental	109.0	2.4773	12.7336	0.1168	10.2804	0.2336	0.1168	0.1168	T048
C0231759	Pivot shift test response	102.0	2.7945	23.8318	0.0	8.528	0.0	0.2336	0.0	T033
C0517127	Plays interactive games with peers	93.0	2.5833	21.729	0.1168	8.4112	0.0	0.2336	0.0	T033
C0236827	Mixed Receptive-Expressive Language Disorder	89.0	1.0723	31.1916	0.3505	19.3925	0.2336	0.0	0.0	T048
C0871858	Pragmatics	80.5	0.7252	18.8084	0.2336	12.9673	0.1168	0.1168	0.0	T054
C0035397	Rewards	69.0	0.8734	8.0607	0.0	9.229	0.1168	0.0	0.0	T041
C2924104	Perceived difficulty in last 2W	68.0	2.72	7.9439	0.0	2.9206	0.0	0.1168	0.0	T033
C3840984	Very bad	67.0	1.9706	7.8271	0.0	3.972	0.0	0.0	0.0	T033
C3844065	Associate degree: academic program	67.0	1.2885	7.8271	0.0	6.0748	0.0	0.0	0.0	T033
C3166145	PhenX measure - symptoms of autism spectrum disorders	65.25	2.837	30.4907	0.2336	10.7477	0.2336	0.2336	0.0	T184
C0939999	Cannulation over a guide-wire	64.0	2.3704	7.4766	0.0	3.1542	0.1168	0.0	0.0	T058
C0423906	Difficulty problem solving	63.0	1.3404	14.7196	0.2336	5.4907	0.0	0.1168	0.0	T033
C0268494	Oculocutaneous albinism type 1	58.5	3.0789	13.6682	0.0	4.4393	0.0	0.2336	0.0	T047
C4061376	Impaired functioning	58.0	2.9	3.3879	0.1168	10.514	1.0514	0.3505	0.7009	T033
